Kategorie;Name;Product ID;Variant ID;Forelle;Futspo;DocA;Potsdam;1A;MH;First Dwon;US Sportshop;Crazy;Ebbo;Boss Hogg;Sports and Cheer;Playmakers
Helm;Riddell 360 M-L;;;http://www.forelle.com/american-football/helmets/adult/riddell-360-helmets-m-l/7086/;-;-;http://www.american-footballshop.de/product_info.php?cPath=22_322&products_id=2123;http://www.1a-football.de/shop2/index.php?a=22736;"350 ohne FM; keine Produktseite";http://www.mallux.de/firstdown-p4247h1s19-Riddell-360-.html;http://us-sportshop.de/osc/riddell-footballhelm-erwachsene-ohne-facemask-p-1982.html?osCsid=017093a568faa603aa3389b561ae9229;"400 inkl FM; keine Produktseite";"415 inkl. FM; keine Produktseite";http://www.tms-footballshop-berlin.de/shop/football/helme/riddell-360-helm-detail;http://www.sportsandcheer.de/shop/Helme/CRiddell360/360/?a_id=5539;http://www.playmakers-football.de/collections/american-football-helme/products/riddell-360
Helm;Riddell Revo Speed M-L;;;http://www.forelle.com/american-football/helmets/adult/riddell-speed-helmets-m-l/7015/;http://www.futspo.de/Speed-Football-Helm-Riddell.htm?SessionId=&a=article&ProdNr=FHRS&p=13;-;http://www.american-footballshop.de/product_info.php?cPath=22_322&products_id=1744;http://www.1a-football.de/shop2/index.php?a=22676;-;http://www.mallux.de/firstdown-p3421h1s19-Riddell-Revolution-S.html;http://us-sportshop.de/osc/riddell-revolution-speed-footballhelm-erwachsene-ohne-facemask-p-1376.html?osCsid=017093a568faa603aa3389b561ae9229;"300 inkl. FM; keine Produktseite";"320 inkl. FM; keine Produktseite";http://www.tms-footballshop-berlin.de/shop/football/helme/riddell-speed-helm-detail;http://www.sportsandcheer.de/shop/Helme/BRiddellRevoSpeed/Speed/?a_id=5570;http://www.playmakers-football.de/collections/american-football-helme/products/riddell-revolution-speed
Schulterpolster;Riddell SPK;;;http://www.forelle.com/american-football/shoulderpads/single-hook-up/riddell-spk-qbwr/7950/;-;-;-;-;-;http://www.mallux.de/firstdown-p4811h1s16-Riddell-Power-SPK-QB.html;-;-;-;http://www.tms-footballshop-berlin.de/shop/football/shoulderpad/shoulderpad-riddell-spk-detail;http://www.sportsandcheer.de/shop/Shoulderpads/Riddell/Power_spk;http://www.playmakers-football.de/collections/american-football-schulterpolster/products/riddell-power-spk
Helm;Riddell Speedflex M-L;;;http://www.forelle.com/american-football/helmets/adult/riddell-speedflex-helmets-m-l/11873/;-;-;-;http://www.1a-football.de/shop2/index.php?a=24454;-;http://www.mallux.de/firstdown-p4899h1s19-Riddell-SpeedFlex.html;-;"570 inkl. FM; keine Produktseite";"538 inkl. FM; keine Produktseite";http://www.tms-footballshop-berlin.de/shop/football/helme/Riddell%20Speed%20Flex%20Helm-detail;http://www.sportsandcheer.de/shop/Helme/AASpeedFlex/flex;-
Helm;Xenith Epic;;;-;http://www.futspo.de/Xenith-Epic-Footballhelm.htm?SessionId=&a=article&ProdNr=FHXEPIC&p=69;-;-;http://www.1a-football.de/shop2/index.php?a=23142;-;http://www.mallux.de/firstdown-p4890h1s19-Xenith-Epic-Varsity.html;http://us-sportshop.de/osc/xenith-epic-footballhelm-erwachsene-ohne-facemask-p-2394.html?osCsid=017093a568faa603aa3389b561ae9229;"380 inkl. FM; keine Produktseite";"375 inkl. FM; keine Produktseite";-;-;-
Helm;Xenith X2e;;;-;http://www.futspo.de/American-Football-Shop/Football-Helme/American-Football-Helme/XENITH-Football-Helme/Xenith-X2E-Footballhelm-inkl-Standard-Gitter.htm?SessionId=&a=article&ProdNr=FHX2&p=69;-;-;http://www.1a-football.de/shop2/index.php?a=21528;-;http://www.mallux.de/firstdown-p4904h1s19-Xenith-X2-E.html;http://us-sportshop.de/osc/xenith-footballhelm-erwachsene-ohne-facemask-p-1769.html?osCsid=017093a568faa603aa3389b561ae9229;"250 inkl. FM; keine Produktseite";"250, inkl. FM; keine Produktseite";-;-;http://www.playmakers-football.de/collections/american-football-helme/products/xenith-x2e
Helm;Rawlings Impulse S-L;;;http://www.forelle.com/american-football/helmets/adult/rawlings-impulse-helmets-s-m-l/6478/;http://www.futspo.de/American-Football-Shop/Football-Helme/American-Football-Helme/RAWLINGS-Football-Helme/Rawlings-NRG-Impulse-Footballhelm.htm?SessionId=&a=article&ProdNr=FHIM&p=25;-;http://www.american-footballshop.de/product_info.php?cPath=22_323&products_id=2317;-;-;http://www.mallux.de/firstdown-p4716h1s19-Rawlings-Impulse.html;http://us-sportshop.de/osc/rawlings-football-helm-impulse-erwachsene-ohne-facemask-p-2188.html?osCsid=017093a568faa603aa3389b561ae9229;"180 inkl. FM; keine Produktseite";"219 inkl. FM; keine Produktseite";-;-;http://www.playmakers-football.de/collections/american-football-helme/products/rawlings-impulse
Helm Zubehör;Riddell 360 Facemask;;;http://www.forelle.com/american-football/helmets/facemasks/riddell-360-2bdc-lw-r77710/7441/;http://www.futspo.de/American-Football-Shop/Football-Helme/Facemasks-Gesichtsgitter/Riddell-360/360-2BD-LW-Gesichtsgitter-fuer-Riddell-360-Helm.htm?SessionId=&a=article&ProdNr=3602BD&p=948;???;http://www.american-footballshop.de/product_info.php?products_id=2126;http://www.1a-football.de/shop2/index.php?a=1008;-;http://www.mallux.de/firstdown-p4382h1s17-Riddell-360-2-BDC.html;http://us-sportshop.de/osc/facemask-bd360-riddell-p-1986.html?osCsid=017093a568faa603aa3389b561ae9229;-;"45; keine Produktseite";http://www.tms-footballshop-berlin.de/shop/football/zubehoer/facemask/facemask-riddell-360-detail;http://www.sportsandcheer.de/shop/Helme/CRiddell360/360fm/?a_id=5544;http://www.playmakers-football.de/products/360-facemask
Helm Zubehör;Riddell Revo Speed Facemask;;;http://www.forelle.com/american-football/helmets/facemasks/riddell-s2b-sp-r94921sp1/9730/;http://www.futspo.de/American-Football-Shop/Football-Helme/Facemasks-Gesichtsgitter/Riddell-Speed/S2B-Gesichtsgitter-fuer-Riddell-Speed.htm?SessionId=&a=article&ProdNr=S2B&p=947;-;http://www.american-footballshop.de/product_info.php?cPath=22_322&products_id=1748;http://www.1a-football.de/shop2/index.php?a=164;-;http://www.mallux.de/firstdown-p3422h1s17-Riddell-S-2B.html;http://us-sportshop.de/osc/facemask-riddell-revolution-speed-p-1379.html?osCsid=017093a568faa603aa3389b561ae9229;"40; keine Produktseite";"35-40; keine Produktseite";http://www.tms-footballshop-berlin.de/shop/football/zubehoer/facemask/riddell-speed-facemask-detail;http://www.sportsandcheer.de/shop/Helme/BRiddellRevoSpeed/Speed/?a_id=5570;http://www.playmakers-football.de/products/revolution-speed-facemask
Schulterpolster;Riddell SPX;;;http://www.forelle.com/american-football/shoulderpads/single-hook-up/riddell-power-spx30/7882/;http://www.futspo.de/American-Football-Shop/Shoulder-Pads/Riddell-Shoulder-Pads/Riddell-Power-SPX10iBP-Football-Shoulderpad.htm?SessionId=&a=article&ProdNr=FSRSPX10IBP&p=1227;-;-;-;-;http://www.mallux.de/firstdown-p3243h1s16-Riddell-SPX-30.html;-;-;-;-;http://www.sportsandcheer.de/shop/Shoulderpads/Riddell/Stock_Power_Extreme/?a_id=5741;http://www.playmakers-football.de/collections/american-football-schulterpolster/products/riddell-power-spx
Schulterpolster;Xenith XFlexion;;;-;http://www.futspo.de/Xenith-Xfexion-Shoulder-Pad.htm?SessionId=&a=article&ProdNr=FSXFLEX&p=2218;-;-;http://www.1a-football.de/shop2/index.php?a=23007;-;http://www.mallux.de/firstdown-p4832h1s16-Xenith-Xflexion.html;http://us-sportshop.de/osc/xenith-xflexion-shoulderpad-p-2393.html?osCsid=017093a568faa603aa3389b561ae9229;"250; keine Produktseite";-;-;-;http://www.playmakers-football.de/collections/american-football-schulterpolster/products/xenith-xflexion
Schulterpolster;Riddell Evolution;;;http://www.forelle.com/american-football/shoulderpads/single-hook-up/riddell-ev15/7904/;http://www.futspo.de/American-Football-Shop/Shoulder-Pads/Riddell-Shoulder-Pads/Riddell-Evolution-Shoulderpad-EV15C.htm?SessionId=&a=article&ProdNr=FSREV15C&p=1227;-;-;-;-;http://www.mallux.de/firstdown-p4667h1s16-Riddell-Evolution-15.html;http://us-sportshop.de/osc/riddell-evolution-ev15-single-hook-shoulderpad-p-2146.html?osCsid=017093a568faa603aa3389b561ae9229;-;-;-;-;http://www.playmakers-football.de/collections/american-football-schulterpolster/products/riddell-evolution
Schulterpolster;Bike Xtreme Lite;;;-;http://www.futspo.de/American-Football-Shop/Shoulder-Pads/Bike-Shoulder-Pads/Bike-Xtreme-Speed-Skill-Pos-.htm?SessionId=&a=article&ProdNr=FSBXT76&p=48;-;-;http://www.1a-football.de/shop2/index.php?a=270;-;http://www.mallux.de/firstdown-p1096h1s16-Bike-Xtreme-Lite-73.html;http://us-sportshop.de/osc/bike-xtreme-rbdb-single-hook-shoulderpad-p-891.html?osCsid=017093a568faa603aa3389b561ae9229;"170; keine Produktseite";"165; keine Produktseite";-;-;http://www.playmakers-football.de/collections/american-football-schulterpolster/products/bike-lite
Handschuhe;Nike Superbad 3.0;;;http://www.forelle.com/american-football/gloves/adult/nike-super-bad-30/10579/;-;http://www.doca-sports.com/american-football/handschuhe-glove/nike-gloves/25643/nike-superbad-3.0-black?c=902;http://www.american-footballshop.de/product_info.php?products_id=2712;http://www.1a-football.de/shop2/index.php?a=21739;-;http://www.mallux.de/firstdown-p4871h1s2-Nike-Super-Bad-3-0.html;http://us-sportshop.de/osc/nike-superbad-padded-receiver-glove-navy-p-2495.html?osCsid=017093a568faa603aa3389b561ae9229;"65; keine Produktseite";"55; keine Produktseite";-;-;http://www.playmakers-football.de/collections/american-football-handschuhe/products/nike-super-bad-3-0
Handschuhe;Nike Vapor Jet 3.0;;;http://www.forelle.com/american-football/gloves/adult/nike-vapor-jet-30/10533/;-;http://www.doca-sports.com/american-football/handschuhe-glove/nike-gloves/25639/nike-vapor-jet-3.0-black?c=902;http://www.american-footballshop.de/product_info.php?products_id=2714;http://www.1a-football.de/shop2/index.php?a=21712;-;http://www.mallux.de/firstdown-p4872h1s2-Nike-Vapor-Jet-3-0.html;-;"55; keine Produktseite";"50; keine Produktseite";-;-;http://www.playmakers-football.de/collections/american-football-handschuhe/products/nike-vapor-jet-3-0
Handschuhe;Nike Hyperbeast;;;http://www.forelle.com/american-football/gloves/adult/nike-hyperbeast-20/5934/;-;http://www.doca-sports.com/american-football/handschuhe-glove/nike-gloves/25646/nike-hyperbeast-2.0-black/white?c=902;-;http://www.1a-football.de/shop2/index.php?a=21758;-;http://www.mallux.de/firstdown-p4873h1s2-Nike-Hyperbeast-2-0-.html;"75; keine Produktseite";"70; keine Produktseite";-;-;-;http://www.playmakers-football.de/collections/american-football-handschuhe/products/nike-hyperbeast-2-0
Handschuhe;Cutters S450 Solid;;;http://www.forelle.com/american-football/gloves/adult/cutters-s450-rev-pro-solid/10146/;-;-;http://www.american-footballshop.de/product_info.php?cPath=24_338_347&products_id=2566;http://www.1a-football.de/shop2/index.php?a=24116;-;http://www.mallux.de/firstdown-p4885h1s2-Cutters-S450-REV-Pro.html;-;"45; keine Produktseite";"46; keine Produktseite";-;-;http://www.playmakers-football.de/collections/american-football-handschuhe/products/s450-revolution-pro-solid
Handschuhe;Cutter S60;;;http://www.forelle.com/american-football/gloves/adult/cutters-s60-the-shockskin-gamer/6279/;http://www.futspo.de/American-Football-Shop/Football-Handschuhe/CUTTERS-Football-Gloves/Gamer-S60-LB-RB-Gloves-Cutters-Shockskin-Model-.htm?SessionId=&a=article&ProdNr=FBCG&p=63;-;http://www.american-footballshop.de/product_info.php?cPath=24_338_346&products_id=2148;http://www.1a-football.de/shop2/index.php?a=341;-;http://www.mallux.de/firstdown-p1062h1s2-Cutters-S-60-ShockSk.html;http://us-sportshop.de/osc/cutters-shockskin-allround-handschuh-p-2261.html?osCsid=017093a568faa603aa3389b561ae9229;"60; keine Produktseite";"52; keine Produktseite";-;http://www.sportsandcheer.de/shop/THandschuhe/Cutters/?a_id=5593;http://www.playmakers-football.de/collections/american-football-handschuhe/products/cutters-s60-shockskin-gamer
Handschuhe;Cutters S90;;;http://www.forelle.com/american-football/gloves/adult/cutters-s90-shockskin-lineman/6300/;-;-;http://www.american-footballshop.de/product_info.php?cPath=24_338_346&products_id=2253;-;-;http://www.mallux.de/firstdown-p4359h1s2-Cutters-S-90-ShockSk.html;http://us-sportshop.de/osc/cutters-shockskin-lineman-handschuh-p-2260.html?osCsid=017093a568faa603aa3389b561ae9229;-;-;-;-;http://www.playmakers-football.de/collections/american-football-handschuhe/products/cutters-s90-shokskin-lineman
